,City Name,Country Code,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,hithadhoo,mv,-0.6,73.08,84,100,56,1.97
1,faanui,pf,-16.48,-151.75,82.38,100,68,17.18
2,vaini,to,15.34,74.49,69.33,94,8,1.52
3,mataura,pf,-46.19,168.86,65.6,59,92,21.88
4,rikitea,pf,-23.12,-134.97,80.31,100,76,18.86
5,peniche,pt,39.36,-9.38,52.57,81,20,16.11
6,dien bien,vn,,,,,,
7,mandiana,gn,10.62,-8.7,75.81,40,56,5.32
8,ponferrada,es,42.55,-6.59,29.82,84,0,2.75
9,hobart,au,-42.88,147.33,59,47,75,10.29
10,udachnyy,ru,66.42,112.4,-5.33,66,12,2.42
11,saskylakh,ru,71.97,114.09,-19.77,84,24,14.38
12,avera,pf,33.19,-82.53,51.53,61,90,9.01
13,chokurdakh,ru,70.62,147.9,-2.4,72,48,12.48
14,bengkulu,id,,,,,,
15,bluff,nz,-23.58,149.07,82.43,64,56,8.01
16,severo-kurilsk,ru,50.68,156.12,30.81,100,32,4.76
17,qaanaaq,gl,77.48,-69.36,-20.04,85,12,5.66
18,atuona,pf,-9.8,-139.03,78.6,100,88,15.28
19,bukachacha,ru,52.99,116.91,31.53,63,92,5.21
20,mys shmidta,ru,,,,,,
21,illoqqortoormiut,gl,,,,,,
22,pevek,ru,69.7,170.27,-5.19,83,8,4.32
23,karaul,ru,,,,,,
24,ambilobe,mg,-13.19,49.05,70.5,99,12,2.98
25,salinopolis,br,-0.61,-47.36,80.58,100,100,8.23
26,hilo,us,19.71,-155.08,69.6,78,90,6.93
27,tuktoyaktuk,ca,69.44,-133.03,-6.07,75,5,2.24
28,bredasdorp,za,-34.53,20.04,51.8,87,0,4.7
29,griffith,au,-34.29,146.06,64.56,59,0,4.76
30,codrington,ag,-28.95,153.24,68.93,100,92,6.67
31,nizhniy kuranakh,ru,58.84,125.49,22.49,73,0,3.42
32,nabire,id,-3.36,135.5,74.91,85,24,2.64
33,bitung,id,1.44,125.19,75.2,94,40,2.24
34,saint-philippe,re,45.36,-73.48,32.45,80,1,4.7
35,vammala,fi,61.34,22.91,8.82,84,0,1.12
36,punta arenas,cl,-53.16,-70.91,41,75,75,33.33
37,upernavik,gl,72.79,-56.15,-12.35,100,8,5.99
38,ushuaia,ar,-54.81,-68.31,42.8,81,75,31.09
39,eyl,so,7.98,49.82,76.85,100,56,13.82
40,thompson,ca,55.74,-97.86,32,73,90,5.82
41,caravelas,br,-17.73,-39.27,80.67,100,44,10.47
42,kolondieba,ml,11.09,-6.89,74.91,53,64,2.64
43,mentok,id,,,,,,
44,shafter,us,35.5,-119.27,61.59,36,1,5.82
45,tiksi,ru,71.64,128.87,2.33,75,64,7.45
46,port elizabeth,za,39.31,-74.98,37.44,55,1,4.7
47,busselton,au,-33.64,115.35,63.44,100,44,8.34
48,ostersund,se,63.18,14.64,12.2,72,0,11.41
49,nizhneyansk,ru,,,,,,
50,avarua,ck,-21.21,-159.78,77,94,90,24.16
51,quepos,cr,9.43,-84.16,72.55,56,20,18.34
52,arraial do cabo,br,-22.97,-42.02,78.56,86,32,19.08
53,barrow,us,-38.31,-60.23,55.47,53,24,8.68
54,cuenca,es,40.07,-2.13,34.41,88,0,4.65
55,namie,jp,37.52,140.86,54.45,47,0,2.24
56,chuy,uy,-33.69,-53.46,58.62,87,0,8.57
57,jamestown,sh,-33.21,138.6,59.88,57,0,11.03
58,elizabeth city,us,36.3,-76.22,40.33,75,1,11.41
59,mocuba,mz,-16.84,36.99,77.52,77,0,4.99
60,longyearbyen,sj,78.22,15.63,14,72,20,12.75
61,ust-karsk,ru,52.71,118.82,31.98,68,92,6.22
62,xining,cn,36.62,101.77,21.27,70,0,2.75
63,cape town,za,-33.93,18.42,53.6,87,0,5.82
64,cidreira,br,-30.17,-50.22,69.42,85,92,11.03
65,yar-sale,ru,66.83,70.83,-0.24,85,80,20.98
66,ribeira grande,pt,38.52,-28.7,63.08,98,92,8.34
67,geraldton,au,49.72,-86.95,28.4,100,90,3.36
68,talnakh,ru,69.49,88.39,-6.23,70,68,6.44
69,buin,pg,-33.73,-70.74,68,37,0,6.93
70,kargapolye,ru,,,,,,
71,puerto ayora,ec,-0.74,-90.35,80.6,74,20,9.17
72,fevralsk,ru,,,,,,
73,tateyama,jp,36.66,137.31,60.8,38,0,4.7
74,whitehorse,ca,60.72,-135.06,21.2,29,75,9.17
75,samarinda,id,-0.5,117.14,74.91,100,56,2.86
76,zhezkazgan,kz,47.8,67.71,24.87,73,76,2.98
77,ostrovnoy,ru,68.05,39.51,6.51,85,20,19.08
78,bethel,us,60.79,-161.76,35.6,74,90,16.11
79,grindavik,is,63.84,-22.43,41.95,86,90,33.33
80,kavaratti,in,10.57,72.64,83.1,100,36,4.21
81,itarema,br,-2.92,-39.92,74.82,99,36,2.53
82,kapaa,us,22.08,-159.32,74.86,69,75,17.22
83,iqaluit,ca,63.75,-68.52,21.2,79,75,10.29
84,vila velha,br,-3.71,-38.6,80.6,88,75,4.7
85,muros,es,42.77,-9.06,48.2,100,90,3.36
86,olinda,br,-2.03,-79.75,82.4,69,75,6.93
87,charters towers,au,-20.07,146.27,73.56,99,92,10.47
88,mrirt,ma,,,,,,
89,tasiilaq,gl,65.61,-37.64,26.6,92,0,16.11
90,mount gambier,au,-37.83,140.78,59.3,72,20,4.76
91,hovd,mn,63.83,10.7,21.92,67,0,11.41
92,dakar,sn,14.69,-17.45,66.2,88,56,6.93
93,butaritari,ki,3.07,172.79,84,97,0,13.82
94,victoria,sc,5.28,115.24,79.72,94,75,2.24
95,baleno,ph,12.47,123.5,79.64,93,0,11.81
96,palabuhanratu,id,,,,,,
97,flinders,au,-34.58,150.85,68,42,40,3.36
98,broome,au,52.47,1.45,41.41,86,64,5.82
99,georgetown,sh,6.8,-58.16,77,88,0,4.7
100,yellowknife,ca,62.45,-114.38,-2.21,49,20,10.29
101,haibowan,cn,,,,,,
102,saldanha,za,41.42,-6.55,40.58,90,0,5.21
103,klyuchi,ru,52.25,79.17,22.17,84,8,10.25
104,pacific grove,us,36.62,-121.92,61.74,36,1,9.17
105,lolua,tv,,,,,,
106,nara,ml,34.68,135.8,56.25,51,0,2.24
107,lagoa,pt,37.14,-8.45,53.6,76,0,3.36
108,petropavlovka,ru,50.61,105.32,32.25,60,88,15.05
109,vostok,ru,46.45,135.83,45.8,71,76,6.22
110,torbay,ca,47.66,-52.73,24.8,73,20,6.93
111,ola,ru,59.58,151.3,10.4,85,90,3.09
112,hermanus,za,-34.42,19.24,44.9,95,0,3.53
113,belushya guba,ru,,,,,,
114,elko,us,40.83,-115.76,42.8,30,75,12.75
115,tuatapere,nz,-46.13,167.69,61.68,84,92,18.97
116,sechura,pe,-5.56,-80.82,74.06,79,44,9.8
117,cayenne,gf,4.94,-52.33,78.8,83,20,4.7
118,tazovskiy,ru,67.47,78.7,9.71,81,80,13.71
119,skerries,ie,53.58,-6.11,48.29,93,75,9.17
120,piterka,ru,50.68,47.44,18.8,79,0,9.46
121,kaitangata,nz,-46.28,169.85,62.54,99,92,7
122,tete,mz,-16.16,33.59,74.28,87,44,8.01
123,cairns,au,-16.92,145.77,77,94,75,10.29
124,mlonggo,id,-6.53,110.7,74.51,100,88,3.87
125,shitanjing,cn,39.23,106.34,46.65,26,0,5.21
126,castro,cl,-42.48,-73.76,54.03,93,88,3.53
127,esperance,au,10.24,-61.45,78.8,78,20,6.93
128,coihaique,cl,-45.58,-72.07,51.8,71,75,6.93
129,port alfred,za,-33.59,26.89,67.85,95,0,13.04
130,la ronge,ca,55.1,-105.3,41,48,75,12.75
131,dikson,ru,73.51,80.55,-16.35,95,24,3.31
132,sitka,us,37.17,-99.65,72.12,26,92,15.84
133,albany,au,42.65,-73.75,36.45,38,20,2.64
134,carnarvon,au,-30.97,22.13,41.21,32,0,3.65
135,saint-francois,gp,46.42,3.91,44.6,81,24,4.32
136,taolanaro,mg,,,,,,
137,kamoke,pk,31.97,74.22,63.03,72,20,3.2
138,havre-saint-pierre,ca,50.23,-63.6,24.8,85,40,9.17
139,santa catarina de tepehuanes,mx,25.34,-105.72,69.83,16,0,12.26
140,agua prieta,mx,31.32,-109.55,64.4,34,40,21.92
141,luderitz,na,-26.65,15.16,57.2,87,0,3.36
142,atar,mr,20.52,-13.05,67.17,37,80,6.44
143,nuuk,gl,64.17,-51.74,6.8,77,20,10.29
144,kahului,us,20.89,-156.47,78.04,69,40,23.04
145,conde,br,-11.81,-37.61,77.39,95,92,7.23
146,plettenberg bay,za,-34.05,23.37,63.71,100,0,9.57
147,amderma,ru,,,,,,
148,moron,mn,10.49,-68.2,71.99,85,64,3.2
149,gelsenkirchen,de,51.51,7.1,36.5,100,40,2.24
150,sentyabrskiy,ru,,,,,,
151,kieta,pg,-6.22,155.63,80.85,100,80,4.09
152,livani,lv,56.35,26.18,19.92,66,0,12.15
153,mar del plata,ar,-46.43,-67.52,62.9,48,88,23.55
154,cockburn town,tc,21.46,-71.14,74.6,100,76,16.4
155,camana,pe,,,,,,
156,malwan,in,,,,,,
157,port blair,in,11.67,92.75,82.92,100,12,1.86
158,bambous virieux,mu,-20.34,57.76,78.33,83,64,5.77
159,codajas,br,-3.84,-62.06,81.35,77,0,4.43
160,samalaeulu,ws,,,,,,
161,egvekinot,ru,66.32,-179.17,8.36,83,80,4.21
162,mezen,ru,65.85,44.24,-10.14,70,0,2.42
163,vestmannaeyjar,is,63.44,-20.27,41.61,95,92,34.85
164,sao joao da barra,br,-21.64,-41.05,80.4,96,0,15.28
165,inzer,ru,54.22,57.56,24.06,83,88,7.67
166,hofn,is,64.25,-15.21,40.4,97,88,26.57
167,isla mujeres,mx,21.23,-86.73,78.8,65,20,9.17
168,kodiak,us,39.95,-94.76,46.4,100,90,4.7
169,svetlaya,ru,46.54,138.33,36.12,87,24,13.27
170,santiago,ph,-33.44,-70.65,69.8,32,0,4.7
171,mancio lima,br,,,,,,
172,chatra,in,24.21,84.87,64.4,55,0,8.05
173,east london,za,-33.02,27.91,71.67,100,88,15.5
174,paamiut,gl,61.99,-49.67,20.37,100,0,31.5
175,lagos,pt,6.46,3.39,82.4,88,20,4.7
176,sabang,id,13.72,123.58,75.81,100,88,12.82
177,tura,ru,25.52,90.21,62.31,94,64,7.78
178,hasaki,jp,35.73,140.83,60.67,59,20,3.36
179,landazuri,co,6.22,-73.81,64.83,100,44,1.07
180,mehran,ir,33.12,46.17,53.6,55,0,4.7
181,sorland,no,67.67,12.69,36.12,100,88,16.06
